Customer ID,Recency,Frequency,Monetary,Cluster,Segment
RH-19495,33,5,3621.3759999999997,1,Potential
RH-19510,416,6,6979.18,3,VIP
RH-19555,416,2,740.382,2,Lost
RH-19600,416,3,2085.7400000000002,2,Lost
RK-19300,120,3,1460.192,1,Potential
RL-19615,122,8,6234.91,3,VIP
RM-19375,346,6,1453.474,2,Lost
RM-19675,7,5,5979.0960000000005,3,VIP
RM-19750,300,1,98.35,2,Lost
RO-19780,36,7,3815.478,0,Loyal
RP-19270,416,4,954.6452,2,Lost
RP-19390,34,12,5153.084,0,Loyal
RP-19855,29,7,2055.356,0,Loyal
RR-19315,20,2,615.932,1,Potential
RR-19525,171,6,3302.2619999999997,1,Potential
RS-19420,77,5,3221.29,1,Potential
RS-19765,37,8,4159.7699999999995,0,Loyal
RS-19870,20,2,22.328,1,Potential
RW-19540,121,7,7397.401,3,VIP
RW-19630,90,9,3279.746,0,Loyal
RW-19690,80,5,3495.646,1,Potential
SA-20830,64,10,4767.3415,0,Loyal
SB-20170,202,3,1348.02,1,Potential
SB-20185,189,6,6410.996,3,VIP
SB-20290,48,7,7553.446,3,VIP
SC-20020,416,5,3362.9636,2,Lost
SC-20050,41,9,4624.572,0,Loyal
SC-20095,350,9,7553.446,3,VIP
SC-20230,150,4,4371.9580000000005,1,Potential
SC-20260,188,8,3729.7929999999997,0,Loyal
SC-20305,30,6,3650.473,0,Loyal
SC-20380,31,9,5992.536,3,VIP
SC-20440,37,7,1874.998,0,Loyal
SC-20575,93,4,799.798,1,Potential
SC-20680,127,6,1254.64,1,Potential
SC-20695,90,10,2576.408,0,Loyal
SC-20725,188,11,5226.21,3,VIP
SC-20770,42,7,4492.657,0,Loyal
SC-20800,31,4,279.25600000000003,1,Potential
SC-20845,415,1,14.112,2,Lost
SD-20485,201,9,6121.114,3,VIP
SE-20110,10,11,7553.446,3,VIP
SF-20065,60,7,763.5459999999999,1,Potential
SF-20200,60,9,3422.7859999999996,0,Loyal
SF-20965,49,9,3336.535,0,Loyal
SG-20080,9,3,3406.5809999999997,1,Potential
SG-20470,184,8,1884.798,0,Loyal
SG-20605,109,5,3118.892,1,Potential
SG-20890,227,3,47.946,2,Lost
SH-19975,30,12,2465.6594999999998,0,Loyal
SH-20395,24,10,2180.718,0,Loyal
SH-20635,416,2,2096.392,2,Lost
SJ-20125,96,12,3949.656,0,Loyal
SJ-20215,30,6,1341.036,1,Potential
SJ-20500,254,5,1318.776,2,Lost
SK-19990,9,3,883.409,1,Potential
SL-20155,71,6,3046.532,1,Potential
SM-20005,416,4,244.49399999999997,2,Lost
SM-20320,80,5,7553.446,3,VIP
SM-20905,416,1,1043.041,2,Lost
SM-20950,26,11,4464.862,0,Loyal
SN-20560,112,6,1860.418,1,Potential
SN-20710,80,7,3127.9592,0,Loyal
SO-20335,30,6,2602.5755,1,Potential
SP-20545,328,6,1306.086,2,Lost
SP-20620,48,9,5440.319,3,VIP
SP-20650,387,9,1872.4360000000001,2,Lost
SP-20860,80,10,4282.94,0,Loyal
SP-20920,71,6,3990.689,0,Loyal
SR-20425,9,5,3233.481,1,Potential
SR-20740,197,8,4345.8859999999995,3,VIP
SS-20140,16,8,1324.028,0,Loyal
SS-20410,111,6,3056.8070000000002,1,Potential
SS-20515,416,3,613.4,2,Lost
SS-20590,416,6,418.49,2,Lost
SS-20875,121,5,964.636,1,Potential
ST-20530,126,7,433.34000000000003,1,Potential
SU-20665,21,7,2595.364,0,Loyal
SV-20365,102,10,7553.446,3,VIP
SV-20785,321,9,4105.305,3,VIP
SV-20815,77,4,1271.0900000000001,1,Potential
SV-20935,3,8,1903.491,0,Loyal
SW-20245,82,7,1085.078,1,Potential
SW-20275,31,6,1966.65,1,Potential
SW-20350,163,3,1019.044,1,Potential
SW-20455,163,6,2835.564,1,Potential
SW-20755,416,2,758.6959999999999,2,Lost
SZ-20035,36,11,3625.329,0,Loyal
TA-21385,70,4,7553.446,3,VIP
TB-21055,120,4,1451.361,1,Potential
TB-21175,59,4,3589.296,1,Potential
TB-21190,50,4,816.1740000000001,1,Potential
TB-21250,350,7,1602.376,2,Lost
TB-21280,416,6,2198.45,2,Lost
TB-21355,147,5,834.328,1,Potential
TB-21400,203,6,7553.446,3,VIP
TB-21520,108,9,4737.486,3,VIP
TB-21595,286,4,1240.871,2,Lost
TB-21625,31,9,2797.668,0,Loyal
TC-20980,400,5,7553.446,3,VIP
TC-21145,107,1,1038.26,1,Potential
TC-21295,28,8,4266.812,0,Loyal
TC-21475,154,9,1244.976,0,Loyal
TC-21535,5,7,742.5580000000001,1,Potential
TD-20995,38,9,1434.5480000000002,0,Loyal
TG-21310,338,5,3058.372,2,Lost
TG-21640,115,4,2074.661,1,Potential
TH-21100,345,5,2422.824,2,Lost
TH-21115,59,4,2942.772,1,Potential
TH-21235,118,8,1022.201,0,Loyal
TH-21550,73,7,4234.0960000000005,0,Loyal
TM-21010,104,7,2819.026,0,Loyal
TM-21490,131,3,1094.6779999999999,1,Potential
TN-21040,91,7,3130.221,0,Loyal
TP-21130,9,9,4454.0560000000005,0,Loyal
TP-21415,105,5,5329.0048,3,VIP
TP-21565,351,4,1936.6399999999999,2,Lost
TR-21325,194,5,675.9419999999999,1,Potential
TS-21085,358,2,4.833,2,Lost
TS-21160,416,6,2163.6240000000003,2,Lost
TS-21205,199,7,5371.09,3,VIP
TS-21340,227,5,974.7819999999999,2,Lost
TS-21370,37,6,7553.446,3,VIP
TS-21430,173,5,2054.14,1,Potential
TS-21505,12,6,2243.274,1,Potential
TS-21610,56,7,2820.424,0,Loyal
TS-21655,239,5,3368.094,2,Lost
TT-21070,32,7,4915.602,3,VIP
TT-21220,184,8,1427.0439999999999,0,Loyal
TT-21265,407,3,439.5,2,Lost
TT-21460,13,7,5364.808,3,VIP
TW-21025,65,7,5278.826,3,VIP
TZ-21580,36,4,1707.286,1,Potential
VB-21745,55,6,2005.596,1,Potential
VD-21670,416,6,6442.254,3,VIP
VF-21715,14,5,847.944,1,Potential
VG-21790,155,6,846.01,1,Potential
VG-21805,416,4,418.432,2,Lost
VM-21685,55,7,2454.866,0,Loyal
VM-21835,118,5,380.69,1,Potential
VP-21730,31,3,993.9019999999999,1,Potential
VP-21760,76,7,3360.526,0,Loyal
VS-21820,222,4,1055.981,2,Lost
VT-21700,416,2,1736.596,2,Lost
VW-21775,29,10,6134.0380000000005,3,VIP
WB-21850,21,10,6129.71,3,VIP
XP-21865,44,11,2374.658,0,Loyal
YC-21895,5,5,5454.35,3,VIP
YS-21880,10,8,6720.4439999999995,3,VIP
ZC-21910,55,13,7553.446,3,VIP
ZD-21925,203,5,1493.944,1,Potential
